member_id,number_of_positions,gross_notional,long_notional,short_notional,net_notional,largest_absolute_weight,weight_hhi,reference_date,currency
CM001,9,133892037.04528657,105084964.61266014,28807072.43262641,76277892.18003374,0.28302850027229237,0.15657295396018983,2026-07-10,USD
CM002,7,953832981.1469092,509483683.4965079,444349297.65040153,65134385.846106365,0.31131392483709586,0.21058513576232327,2026-07-10,USD
CM003,5,29276989.192323763,29276989.19232376,-0.0,29276989.19232376,0.32566273508315446,0.23889402715433863,2026-07-10,USD
CM004,9,199678872.9159751,170691496.7010929,28987376.214882176,141704120.48621073,0.24707933012691272,0.1542746408566906,2026-07-10,USD
CM005,8,17415588.52867576,13280104.633391423,4135483.895284342,9144620.73810708,0.2887765548758571,0.1963717705161711,2026-07-10,USD
CM006,8,201463434.64216456,147206814.60410216,54256620.03806241,92950194.56603974,0.21558565432023333,0.1543244343036581,2026-07-10,USD
CM007,3,66758139.02614623,25338397.543200232,41419741.48294599,-16081343.93974576,0.39443021115594556,0.35071992986414546,2026-07-10,USD
CM008,6,326785855.70622885,203333633.24858874,123452222.45764019,79881410.79094857,0.3688127104739021,0.24097071656354457,2026-07-10,USD
CM009,3,210429253.45912388,72638444.41000435,137790809.04911956,-65152364.63911522,0.3979533673889023,0.34349865941659485,2026-07-10,USD
CM010,5,44686490.236269586,31826362.37896956,12860127.857300023,18966234.521669537,0.35579049284813546,0.2679053618209934,2026-07-10,USD
CM011,9,97155702.08017112,39568439.37545537,57587262.70471574,-18018823.32926037,0.23643519641542265,0.15787966603333844,2026-07-10,USD
CM012,4,334409165.6192889,207296940.44766468,127112225.1716242,80184715.27604048,0.3801098720970353,0.2821572898594129,2026-07-10,USD
CM013,4,737524848.6080804,737524848.6080803,-0.0,737524848.6080803,0.34368166777778986,0.26951022616657644,2026-07-10,USD
CM014,3,19528696.17847566,7110564.709920202,12418131.468555458,-5307566.7586352555,0.3859770351073569,0.34401051628071566,2026-07-10,USD
CM015,4,22704265.070990782,22704265.07099078,-0.0,22704265.07099078,0.3529563110735432,0.27839102715351577,2026-07-10,USD
CM016,6,40132289.23875945,40132289.23875944,-0.0,40132289.23875944,0.29504863206732707,0.20053542578340794,2026-07-10,USD
CM017,4,14441781.743118344,14441781.743118344,-0.0,14441781.743118344,0.361068595799421,0.2709146024535106,2026-07-10,USD
CM018,6,102530682.65337564,57563289.158302516,44967393.49507313,12595895.663229384,0.38263538812279246,0.2547400508776793,2026-07-10,USD
CM019,10,479429135.5176855,165414972.42171258,314014163.0959729,-148599190.67426035,0.28871020571469386,0.1595055956277054,2026-07-10,USD
CM020,3,12921159.140098728,8369123.513567101,4552035.626531624,3817087.887035477,0.3675844880857836,0.3376973545090985,2026-07-10,USD
CM021,9,15295487.281197436,9239702.406201426,6055784.874996011,3183917.5312054153,0.2366101391215012,0.16422267276876246,2026-07-10,USD
CM022,3,39931961.64500892,28028764.754533026,11903196.890475892,16125567.864057135,0.37609640411921935,0.33646082135666844,2026-07-10,USD
CM023,4,330334997.73707277,248992858.92423943,81342138.81283337,167650720.1114061,0.27287679311626345,0.2507220874058383,2026-07-10,USD
CM024,4,54901878.58233202,22802440.574883692,32099438.00744833,-9296997.43256464,0.3657472937186429,0.30153807165529756,2026-07-10,USD
CM025,4,38407859.2004144,38407859.2004144,-0.0,38407859.2004144,0.3907689762494398,0.3156639808579872,2026-07-10,USD
CM026,9,523073161.84771687,346182987.33776164,176890174.50995517,169292812.82780647,0.17005600030873314,0.12286866615937928,2026-07-10,USD
CM027,3,37646208.82874682,0.0,37646208.82874682,-37646208.82874682,0.3560763051441408,0.33525599169832865,2026-07-10,USD
CM028,10,111514341.81722303,83105983.21443965,28408358.602783374,54697624.61165627,0.24935298899903405,0.13538095025772173,2026-07-10,USD
CM029,8,37058857.57185731,25916039.798917815,11142817.772939492,14773222.025978323,0.18279860945619095,0.14086433121148206,2026-07-10,USD
CM030,8,34568494.99562215,16753240.212914392,17815254.78270776,-1062014.569793366,0.2305503172666463,0.16298429437516604,2026-07-10,USD
