scenario_id,parameter,parameter_value,observations,average_baseline_margin,average_scenario_margin,average_margin_change,average_margin_pct_change,maximum_absolute_margin_pct_change
mpor_days__5,mpor_days,5,7500,33515929.109666795,46481500.44610948,12965571.336442685,0.5566283991861509,1.9787068344934067
mpor_days__3,mpor_days,3,7500,33515929.109666795,44626757.19587912,11110828.086212326,0.4604457247468094,1.4937147981721703
lookback_days__153,lookback_days,153,7500,33515929.109666795,27168117.890016396,-6347811.219650401,-0.19393586748083227,0.6816595256246896
lookback_days__250,lookback_days,250,7500,33515929.109666795,31085824.640693188,-2430104.468973606,-0.06760194215432122,0.6011517776481036
concentration_threshold__0p1,concentration_threshold,0.1,7500,33515929.109666795,37878475.04013623,4362545.930469438,0.16146382090950848,0.5644196636716601
concentration_threshold__0p3,concentration_threshold,0.3,7500,33515929.109666795,29276143.27926025,-4239785.830406544,-0.1446112088914896,0.38030342390953686
stress_buffer__0p5,stress_buffer,0.5,7500,33515929.109666795,45703539.69500017,12187610.585333379,0.36363636363636365,0.363636363636364
lookback_days__1000,lookback_days,1000,7500,33515929.109666795,33817865.16037584,301936.0507090514,0.03193314620655317,0.3378728932284769
correlation_shock__near_one,correlation_shock,near_one,7500,33515929.109666795,33517597.224538077,1668.1148712852935,0.0012540135444956573,0.16995731079774035
stress_buffer__0p25,stress_buffer,0.25,7500,33515929.109666795,38086283.079166815,4570353.969500017,0.13636363636363635,0.13636363636363646
lookback_days__750,lookback_days,750,7500,33515929.109666795,33548981.36400648,33052.254339683896,0.0017586874640160774,0.09249838069978011
stress_buffer__0p0,stress_buffer,0.0,7500,33515929.109666795,30469026.463333447,-3046902.646333345,-0.0909090909090909,0.09090909090909105
liquidity_threshold_adv__0p2,liquidity_threshold_adv,0.2,7500,33515929.109666795,32617066.687172703,-898862.4224940888,-0.014590136332976913,0.07464874841230229
ewma_lambda__0p9,ewma_lambda,0.9,7500,33515929.109666795,33516044.22667835,115.1170115544453,3.7264813964516124e-05,0.058133367306814954
confidence_level__0p995,confidence_level,0.995,7500,33515929.109666795,33516483.598479334,554.4888125407906,6.39317037539646e-05,0.052313961600075176
liquidity_threshold_adv__0p05,liquidity_threshold_adv,0.05,7500,33515929.109666795,34126383.88457893,610454.7749121337,0.011473288130828893,0.03810093304546913
correlation_shock__plus_25_percent,correlation_shock,plus_25_percent,7500,33515929.109666795,33515948.233084977,19.123418183146043,1.0677764697820714e-05,0.0241804441264879
ewma_lambda__0p97,ewma_lambda,0.97,7500,33515929.109666795,33515928.265461136,-0.8442056545757067,-4.727840739994438e-07,0.0029077962014278924
confidence_level__0p975,confidence_level,0.975,7500,33515929.109666795,33515928.265461136,-0.8442056546261146,-4.727840739926344e-07,0.0029077962014277814
