member_id,exceptions,total_shortfall,observations,observed_exception_rate,maximum_shortfall
CM005,0,,250,0.0,0.0
CM030,0,,250,0.0,0.0
CM029,0,,250,0.0,0.0
CM001,0,,250,0.0,0.0
CM015,0,,250,0.0,0.0
CM020,0,,250,0.0,0.0
CM025,0,,250,0.0,0.0
CM026,0,,250,0.0,0.0
CM009,0,,250,0.0,0.0
CM006,0,,250,0.0,0.0
CM010,0,,250,0.0,0.0
CM014,0,,250,0.0,0.0
CM024,0,,250,0.0,0.0
CM017,0,,250,0.0,0.0
CM002,0,,250,0.0,0.0
CM008,0,,250,0.0,0.0
CM011,0,,250,0.0,0.0
CM013,0,,250,0.0,0.0
CM018,0,,250,0.0,0.0
CM022,0,,250,0.0,0.0
CM023,0,,250,0.0,0.0
CM027,0,,250,0.0,0.0
CM028,0,,250,0.0,0.0
CM021,0,,250,0.0,0.0
CM007,0,,250,0.0,0.0
CM003,0,,250,0.0,0.0
CM012,0,,250,0.0,0.0
CM016,0,,250,0.0,0.0
CM019,0,,250,0.0,0.0
CM004,0,,250,0.0,0.0
