member_id,average_margin,margin_level_volatility,margin_change_volatility,minimum_margin,maximum_margin
CM007,91746774.85498622,,,91746774.85498622,91746774.85498622
CM010,138401621.1702192,,,138401621.1702192,138401621.1702192
CM029,233270741.53871182,,,233270741.53871182,233270741.53871182
CM009,246546216.78773913,,,246546216.78773913,246546216.78773913
CM001,40368401.99654426,,,40368401.99654426,40368401.99654426
CM025,107509883.8814848,,,107509883.8814848,107509883.8814848
CM026,5008122.837693224,,,5008122.837693224,5008122.837693224
CM015,11520479.699883234,,,11520479.699883234,11520479.699883234
CM005,28730807.648042094,,,28730807.648042094,28730807.648042094
CM011,6434633.311369751,,,6434633.311369751,6434633.311369751
CM013,114435078.80403987,,,114435078.80403987,114435078.80403987
CM022,120788929.8884699,,,120788929.8884699,120788929.8884699
CM008,45517007.95999219,,,45517007.95999219,45517007.95999219
CM023,105127092.59640111,,,105127092.59640111,105127092.59640111
CM002,5992157.447779059,,,5992157.447779059,5992157.447779059
CM030,57171933.55674943,,,57171933.55674943,57171933.55674943
CM018,109762642.45387036,,,109762642.45387036,109762642.45387036
CM027,22096840.34502124,,,22096840.34502124,22096840.34502124
CM028,98730396.59532481,,,98730396.59532481,98730396.59532481
CM024,3017260.8009952707,,,3017260.8009952707,3017260.8009952707
CM004,3686477.8428003495,,,3686477.8428003495,3686477.8428003495
CM006,1578303.0086115804,,,1578303.0086115804,1578303.0086115804
CM014,9305933.366691558,,,9305933.366691558,9305933.366691558
CM003,10991413.118993051,,,10991413.118993051,10991413.118993051
CM017,15748526.451074094,,,15748526.451074094,15748526.451074094
CM016,34216464.405742615,,,34216464.405742615,34216464.405742615
CM012,87925414.29505935,,,87925414.29505935,87925414.29505935
CM021,30770669.840440147,,,30770669.840440147,30770669.840440147
CM019,139756515.57368177,,,139756515.57368177,139756515.57368177
CM020,10420909.526934886,,,10420909.526934886,10420909.526934886
