target_table,rank,source_file,row_count,score,matched_column_groups,missing_column_groups,filename_matches,all_source_columns,read_error
market_prices,1,data\processed\market_prices_clean.parquet,49100,39,date|security_id|adjusted_close,,market|price,security_id|date|open|high|low|close|adjusted_close|volume|dividends|stock_splits|source|source_priority|primary_source_available|fallback_used|run_id|download_timestamp_utc|duplicate_security_date_raw|is_non_positive_price|model_price|calendar_reference_security|security_first_valid_date|security_last_valid_date|pre_inception|post_last_observation|active_history|calendar_gap|model_price_missing|active_calendar_gap|active_model_price_missing|return_1d|log_return_1d|stale_run_length|adjustment_ratio|adjustment_ratio_change|clean_run_id|cleaned_timestamp_utc,
market_prices,2,data\raw\market\market_prices_raw.parquet,49033,39,date|security_id|adjusted_close,,market|price,date|security_id|open|high|low|close|adjusted_close|volume|dividends|stock_splits|source|source_priority|primary_source_available|fallback_used|run_id|download_timestamp_utc,
market_prices,3,data\processed\market_data_clean_long.parquet,112930,34,date|ticker|close,,market,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc|simple_return|log_return,
market_prices,4,data\processed\clearing_member_positions.parquet,962360,29,valuation_date|security_id|price,,,valuation_date|member_id|portfolio_id|portfolio_category|security_id|quantity|price|market_value|long_short_flag|sector|asset_class|liquidity_bucket,
market_prices,5,data\raw\market\AGG.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,6,data\raw\market\DBC.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,7,data\raw\market\DIA.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,8,data\raw\market\EEM.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,9,data\raw\market\EFA.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,10,data\raw\market\GLD.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,11,data\raw\market\IEF.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,12,data\raw\market\IWM.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,13,data\raw\market\LQD.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,14,data\raw\market\QQQ.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,15,data\raw\market\SHY.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,16,data\raw\market\SPY.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,17,data\raw\market\TIP.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,18,data\raw\market\TLT.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,19,data\raw\market\VNQ.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,20,data\raw\market\XLE.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,21,data\raw\market\XLF.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,22,data\raw\market\XLI.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,23,data\raw\market\XLK.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,24,data\raw\market\XLP.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,25,data\raw\market\XLU.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,26,data\raw\market\XLV.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,27,data\raw\market\XLY.parquet,4910,29,date|ticker|close,,,date|adj_close|capital_gains|close|dividends|high|low|open|stock_splits|volume|ticker|source|retrieved_at_utc,
market_prices,28,reports\evidence\archive\20260712_155701\data_quality_exceptions.csv,3,21,date|security_id,price/adjusted_close/close,,run_id|check_id|check_name|severity|security_id|date|field|observed_value|threshold|message,
market_prices,29,reports\evidence\archive\20260712_160038\data_quality_exceptions.csv,3,21,date|security_id,price/adjusted_close/close,,run_id|check_id|check_name|severity|security_id|date|field|observed_value|threshold|message,
market_prices,30,reports\evidence\market_completeness.csv,23,18,ticker,valuation_date/date/trade_date|price/adjusted_close/close,market,ticker|completeness|required_minimum|status,
market_prices,31,data\manifests\market_download_status.csv,10,18,security_id,valuation_date/date/trade_date|price/adjusted_close/close,market,run_id|security_id|requested_start_date|requested_end_date|primary_source|primary_status|fallback_source|fallback_attempted|fallback_status|selected_source|row_count|error_message|download_timestamp_utc,
market_prices,32,data\manifests\clean_market_dataset_manifest.csv,6,15,,valuation_date/date/trade_date|security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,market|clean_market,file|sha256|size_bytes,
market_prices,33,data\processed\sensitivity_scenario_results.parquet,150000,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,scenario_id|date|member_id|margin|realized_loss|parameter|parameter_value|is_baseline|confidence_level|lookback_days|mpor_days|ewma_lambda|concentration_threshold|liquidity_threshold_adv|stress_buffer|correlation_shock|primary_var|challenger_var|base_var|liquidity_addon|concentration_addon|gap_risk_addon|stress_buffer_amount|gross_exposure|largest_position_weight,
market_prices,34,data\processed\portfolio_concentration.parquet,147300,13,valuation_date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,valuation_date|member_id|portfolio_id|gross_exposure|position_count|hhi|effective_position_count|largest_position_weight|top_3_weight|top_5_weight|concentration_flag,
market_prices,35,data\processed\portfolio_exposures.parquet,147300,13,valuation_date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,valuation_date|member_id|portfolio_id|gross_exposure|long_exposure|short_exposure|net_exposure|position_count|gross_to_net_ratio|short_gross_share|net_gross_ratio,
market_prices,36,data\processed\portfolio_liquidity.parquet,147300,13,valuation_date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,valuation_date|member_id|portfolio_id|gross_exposure|liquidity_stress_add_on|high_liquidity_exposure|medium_liquidity_exposure|low_liquidity_exposure|weighted_liquidity_score|high_liquidity_share|medium_liquidity_share|low_liquidity_share|liquidity_stressed_flag,
market_prices,37,data\raw\macro\fred_series_raw.parquet,28302,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,date|series_id|value|source|client|run_id|download_timestamp_utc,
market_prices,38,data\processed\primary_model_pnl_distribution.parquet,15000,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,date|member_id|simulation_end_date|pnl|loss|mpor_days|model_version,
market_prices,39,data\raw\macro\T10Y2Y.parquet,5095,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,series_id|date|value|realtime_start|realtime_end|source|retrieved_at_utc,
market_prices,40,data\raw\macro\DGS10.parquet,5094,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,series_id|date|value|realtime_start|realtime_end|source|retrieved_at_utc,
market_prices,41,data\raw\macro\DGS2.parquet,5094,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,series_id|date|value|realtime_start|realtime_end|source|retrieved_at_utc,
market_prices,42,data\raw\macro\VIXCLS.parquet,5094,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,series_id|date|value|realtime_start|realtime_end|source|retrieved_at_utc,
market_prices,43,data\processed\adjusted_close_wide.parquet,4910,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,agg|dbc|dia|eem|efa|gld|ief|iwm|lqd|qqq|shy|spy|tip|tlt|vnq|xle|xlf|xli|xlk|xlp|xlu|xlv|xly|date,
market_prices,44,data\processed\close_wide.parquet,4910,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,agg|dbc|dia|eem|efa|gld|ief|iwm|lqd|qqq|shy|spy|tip|tlt|vnq|xle|xlf|xli|xlk|xlp|xlu|xlv|xly|date,
market_prices,45,data\processed\volume_wide.parquet,4910,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,agg|dbc|dia|eem|efa|gld|ief|iwm|lqd|qqq|shy|spy|tip|tlt|vnq|xle|xlf|xli|xlk|xlp|xlu|xlv|xly|date,
market_prices,46,data\processed\log_returns_wide.parquet,4909,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,agg|dbc|dia|eem|efa|gld|ief|iwm|lqd|qqq|shy|spy|tip|tlt|vnq|xle|xlf|xli|xlk|xlp|xlu|xlv|xly|date,
market_prices,47,data\processed\returns_wide.parquet,4909,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,agg|dbc|dia|eem|efa|gld|ief|iwm|lqd|qqq|shy|spy|tip|tlt|vnq|xle|xlf|xli|xlk|xlp|xlu|xlv|xly|date,
market_prices,48,data\raw\macro\NFCI.parquet,1018,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,series_id|date|value|realtime_start|realtime_end|source|retrieved_at_utc,
market_prices,49,data\raw\macro\BAMLH0A0HYM2.parquet,795,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,series_id|date|value|realtime_start|realtime_end|source|retrieved_at_utc,
market_prices,50,data\synthetic\member_positions.csv,178,13,ticker,valuation_date/date/trade_date|price/adjusted_close/close,,member_id|position_id|ticker|direction|absolute_weight|signed_weight|reference_date|reference_price|quantity|absolute_notional|signed_notional|currency,
market_prices,51,data\processed\challenger_member_margin.parquet,30,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,date|member_id|challenger_var|parametric_volatility|portfolio_value|gross_exposure|net_exposure|confidence_level|lookback_days|ewma_lambda|mpor_days|observations|model_name|model_version|calculation_timestamp_utc,
market_prices,52,data\processed\daily_member_margin.parquet,30,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,date|member_id|base_var|liquidity_addon|concentration_addon|gap_risk_addon|stress_buffer|total_margin|portfolio_value|gross_exposure|net_exposure|model_version|challenger_var|expected_shortfall|worst_loss|parametric_volatility|primary_to_challenger_ratio|primary_mpor_days|challenger_mpor_days|largest_single_name_weight|largest_sector_weight|calculation_timestamp_utc,
market_prices,53,data\processed\margin_addons.parquet,30,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,date|member_id|base_var|liquidity_addon|concentration_addon|gap_risk_addon|stress_buffer|total_margin|portfolio_value|gross_exposure|net_exposure|largest_single_name_weight|largest_sector_weight|model_version|calculation_timestamp_utc,
market_prices,54,data\processed\primary_member_margin.parquet,30,13,date,security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,date|member_id|base_var|expected_shortfall|worst_loss|portfolio_value|gross_exposure|net_exposure|confidence_level|lookback_days|mpor_days|observations|model_name|model_version|calculation_timestamp_utc,
market_prices,55,data\synthetic\example_member_positions.csv,21,13,ticker,valuation_date/date/trade_date|price/adjusted_close/close,,member_id|position_id|ticker|direction|absolute_weight|signed_weight|reference_date|reference_price|quantity|absolute_notional|signed_notional|currency,
market_prices,56,reports\evidence\archive\20260712_155701\market_data_manifest.csv,26,10,,valuation_date/date/trade_date|security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,market,run_id|dataset_name|file_path|file_format|row_count|column_count|minimum_date|maximum_date|security_count|source_list|content_sha256|schema_sha256|config_sha256|request_sha256|generated_at_utc|reproducibility_status|previous_content_sha256|status|error_message,
market_prices,57,reports\evidence\archive\20260712_160038\market_data_manifest.csv,26,10,,valuation_date/date/trade_date|security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,market,run_id|dataset_name|file_path|file_format|row_count|column_count|minimum_date|maximum_date|security_count|source_list|content_sha256|schema_sha256|config_sha256|request_sha256|generated_at_utc|reproducibility_status|previous_content_sha256|status|error_message,
market_prices,58,data\manifests\market_data_dictionary.csv,13,10,,valuation_date/date/trade_date|security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,market,field|type|definition,
market_prices,59,data\manifests\market_data_manifest.csv,4,10,,valuation_date/date/trade_date|security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,market,run_id|dataset_name|file_path|file_format|row_count|column_count|minimum_date|maximum_date|security_count|source_list|content_sha256|schema_sha256|config_sha256|request_sha256|generated_at_utc|reproducibility_status|previous_content_sha256|status|error_message,
market_prices,60,reports\validation\sensitivity\member_ranking_detail.csv,600,5,,valuation_date/date/trade_date|security_id/ticker/symbol/risk_factor_id|price/adjusted_close/close,,member_id|baseline_average_margin|baseline_rank|scenario_average_margin|scenario_rank|rank_change|absolute_rank_change|scenario_id|parameter|parameter_value,
